+---------------------------+---------------------------+-----------+
| TABLE_NAME                | COLUMN_NAME               | DATA_TYPE |
+---------------------------+---------------------------+-----------+
| chat_messages             | id                        | bigint    |
| chat_messages             | content                   | text      |
| chat_messages             | created_at                | datetime  |
| chat_messages             | deleted_at                | datetime  |
| chat_messages             | file_name                 | varchar   |
| chat_messages             | file_size                 | bigint    |
| chat_messages             | file_url                  | varchar   |
| chat_messages             | flagged_reason            | varchar   |
| chat_messages             | is_deleted                | bit       |
| chat_messages             | is_edited                 | bit       |
| chat_messages             | is_flagged                | bit       |
| chat_messages             | message_type              | enum      |
| chat_messages             | reaction_count            | int       |
| chat_messages             | reactions                 | text      |
| chat_messages             | toxicity_score            | double    |
| chat_messages             | updated_at                | datetime  |
| chat_messages             | chat_room_id              | bigint    |
| chat_messages             | reply_to_message_id       | bigint    |
| chat_messages             | sender_id                 | bigint    |
| chat_room_members         | id                        | bigint    |
| chat_room_members         | banned_until              | datetime  |
| chat_room_members         | is_banned                 | bit       |
| chat_room_members         | is_muted                  | bit       |
| chat_room_members         | joined_at                 | datetime  |
| chat_room_members         | last_read_message_id      | bigint    |
| chat_room_members         | left_at                   | datetime  |
| chat_room_members         | muted_until               | datetime  |
| chat_room_members         | notification_enabled      | bit       |
| chat_room_members         | role                      | enum      |
| chat_room_members         | unread_count              | int       |
| chat_room_members         | chat_room_id              | bigint    |
| chat_room_members         | user_id                   | bigint    |
| chat_room_moderators      | chat_room_id              | bigint    |
| chat_room_moderators      | moderator_id              | bigint    |
| chat_rooms                | id                        | bigint    |
| chat_rooms                | allow_emojis              | bit       |
| chat_rooms                | allow_file_sharing        | bit       |
| chat_rooms                | created_at                | datetime  |
| chat_rooms                | current_members           | int       |
| chat_rooms                | deleted_at                | datetime  |
| chat_rooms                | description               | text      |
| chat_rooms                | event_id                  | bigint    |
| chat_rooms                | game_title                | varchar   |
| chat_rooms                | is_active                 | bit       |
| chat_rooms                | is_private                | bit       |
| chat_rooms                | last_activity             | datetime  |
| chat_rooms                | max_members               | int       |
| chat_rooms                | message_history_days      | int       |
| chat_rooms                | name                      | varchar   |
| chat_rooms                | slow_mode_seconds         | int       |
| chat_rooms                | total_messages            | bigint    |
| chat_rooms                | tournament_id             | bigint    |
| chat_rooms                | type                      | enum      |
| chat_rooms                | updated_at                | datetime  |
| chat_rooms                | creator_id                | bigint    |
| event_attendances         | id                        | bigint    |
| event_attendances         | attendance_notes          | text      |
| event_attendances         | check_in_time             | datetime  |
| event_attendances         | check_out_time            | datetime  |
| event_attendances         | created_at                | datetime  |
| event_attendances         | dietary_restrictions      | varchar   |
| event_attendances         | feedback_comment          | text      |
| event_attendances         | feedback_rating           | int       |
| event_attendances         | interested_only           | bit       |
| event_attendances         | registration_date         | datetime  |
| event_attendances         | reminder_sent             | bit       |
| event_attendances         | special_requirements      | varchar   |
| event_attendances         | status                    | enum      |
| event_attendances         | updated_at                | datetime  |
| event_attendances         | attendee_id               | bigint    |
| event_attendances         | event_id                  | bigint    |
| event_moderators          | event_id                  | bigint    |
| event_moderators          | moderator_id              | bigint    |
| events                    | id                        | bigint    |
| events                    | age_restriction           | int       |
| events                    | banner_image_url          | varchar   |
| events                    | competitive               | bit       |
| events                    | created_at                | datetime  |
| events                    | currency                  | varchar   |
| events                    | current_attendees         | int       |
| events                    | deleted_at                | datetime  |
| events                    | description               | text      |
| events                    | end_date_time             | datetime  |
| events                    | entry_fee                 | decimal   |
| events                    | event_type                | enum      |
| events                    | gallery_images            | text      |
| events                    | game_category             | varchar   |
| events                    | game_title                | varchar   |
| events                    | interested_count          | bigint    |
| events                    | is_public                 | bit       |
| events                    | live_stream_url           | varchar   |
| events                    | location_type             | enum      |
| events                    | max_attendees             | int       |
| events                    | notification_settings     | text      |
| events                    | physical_address          | varchar   |
| events                    | physical_venue            | varchar   |
| events                    | recording_enabled         | bit       |
| events                    | registration_deadline     | datetime  |
| events                    | registration_requirements | text      |
| events                    | reminder_sent_1h          | bit       |
| events                    | reminder_sent_24h         | bit       |
| events                    | requires_registration     | bit       |
| events                    | settings                  | text      |
| events                    | start_date_time           | datetime  |
| events                    | status                    | enum      |
| events                    | tags                      | text      |
| events                    | timezone                  | varchar   |
| events                    | title                     | varchar   |
| events                    | updated_at                | datetime  |
| events                    | view_count                | bigint    |
| events                    | virtual_link              | varchar   |
| events                    | virtual_platform          | varchar   |
| events                    | organizer_id              | bigint    |
| media                     | id                        | bigint    |
| media                     | compressed_size           | bigint    |
| media                     | compression_ratio         | double    |
| media                     | content_type              | varchar   |
| media                     | created_at                | datetime  |
| media                     | deleted_at                | datetime  |
| media                     | description               | text      |
| media                     | download_count            | bigint    |
| media                     | duration                  | bigint    |
| media                     | file_path                 | varchar   |
| media                     | file_size                 | bigint    |
| media                     | game_category             | varchar   |
| media                     | height                    | int       |
| media                     | is_nsfw                   | bit       |
| media                     | media_type                | enum      |
| media                     | moderation_reason         | varchar   |
| media                     | moderation_status         | varchar   |
| media                     | original_filename         | varchar   |
| media                     | resolution                | varchar   |
| media                     | stored_filename           | varchar   |
| media                     | tags                      | text      |
| media                     | thumbnail_path            | varchar   |
| media                     | title                     | varchar   |
| media                     | toxicity_score            | double    |
| media                     | updated_at                | datetime  |
| media                     | view_count                | bigint    |
| media                     | visibility                | enum      |
| media                     | width                     | int       |
| media                     | uploader_id               | bigint    |
| notifications             | id                        | bigint    |
| notifications             | action_url                | varchar   |
| notifications             | created_at                | datetime  |
| notifications             | deleted_at                | datetime  |
| notifications             | expires_at                | datetime  |
| notifications             | is_email_sent             | bit       |
| notifications             | is_push_sent              | bit       |
| notifications             | is_read                   | bit       |
| notifications             | message                   | text      |
| notifications             | metadata                  | text      |
| notifications             | priority                  | int       |
| notifications             | read_at                   | datetime  |
| notifications             | related_entity_id         | bigint    |
| notifications             | related_entity_type       | varchar   |
| notifications             | title                     | varchar   |
| notifications             | type                      | enum      |
| notifications             | recipient_id              | bigint    |
| notifications             | sender_id                 | bigint    |
| post_comments             | id                        | bigint    |
| post_comments             | content                   | text      |
| post_comments             | created_at                | datetime  |
| post_comments             | deleted_at                | datetime  |
| post_comments             | is_deleted                | bit       |
| post_comments             | like_count                | bigint    |
| post_comments             | author_id                 | bigint    |
| post_comments             | parent_comment_id         | bigint    |
| post_comments             | post_id                   | bigint    |
| post_media                | post_id                   | bigint    |
| post_media                | media_id                  | bigint    |
| post_reactions            | id                        | bigint    |
| post_reactions            | created_at                | datetime  |
| post_reactions            | reaction_type             | enum      |
| post_reactions            | post_id                   | bigint    |
| post_reactions            | user_id                   | bigint    |
| posts                     | id                        | bigint    |
| posts                     | comment_count             | bigint    |
| posts                     | content                   | text      |
| posts                     | created_at                | datetime  |
| posts                     | deleted_at                | datetime  |
| posts                     | dislike_count             | bigint    |
| posts                     | event_id                  | bigint    |
| posts                     | game_category             | varchar   |
| posts                     | game_title                | varchar   |
| posts                     | hashtags                  | text      |
| posts                     | is_featured               | bit       |
